iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(18, 9)",None,None,"[((18, 8), 'South', 1), ((17, 9), 'West', 1)]","[(18, 9)]","[(18, 8), (17, 9)]","[(18, 9)]",0,25,25
2,"(18, 8)","(18, 9)",South,"[((18, 7), 'South', 1)]","[(18, 8), (17, 9)]","[(17, 9), (18, 7)]","[(18, 9), (18, 8)]",1,24,25
3,"(17, 9)","(18, 9)",West,"[((16, 9), 'West', 1)]","[(17, 9), (18, 7)]","[(18, 7), (16, 9)]","[(18, 9), (17, 9), (18, 8)]",1,24,25
4,"(18, 7)","(18, 8)",South,"[((18, 6), 'South', 1)]","[(18, 7), (16, 9)]","[(16, 9), (18, 6)]","[(18, 9), (17, 9), (18, 7), (18, 8)]",2,23,25
5,"(16, 9)","(17, 9)",West,"[((15, 9), 'West', 1)]","[(16, 9), (18, 6)]","[(18, 6), (15, 9)]","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 8)]",2,23,25
6,"(18, 6)","(18, 7)",South,"[((18, 5), 'South', 1)]","[(18, 6), (15, 9)]","[(15, 9), (18, 5)]","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (18, 8)]",3,22,25
7,"(15, 9)","(16, 9)",West,"[((14, 9), 'West', 1)]","[(15, 9), (18, 5)]","[(18, 5), (14, 9)]","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (15, 9), (18, 8)]",3,22,25
8,"(18, 5)","(18, 6)",South,"[((18, 4), 'South', 1)]","[(18, 5), (14, 9)]","[(14, 9), (18, 4)]","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (15, 9), (18, 5), (18, 8)]",4,21,25
9,"(14, 9)","(15, 9)",West,"[((13, 9), 'West', 1)]","[(14, 9), (18, 4)]","[(18, 4), (13, 9)]","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (14, 9), (15, 9), (18, 5), (18, 8)]",4,21,25
10,"(18, 4)","(18, 5)",South,"[((18, 3), 'South', 1)]","[(18, 4), (13, 9)]","[(13, 9), (18, 3)]","[(18, 4), (18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (14, 9), (15, 9), (18, 5), (18, 8)]",5,20,25
