iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(7, 9)",None,None,"[((7, 10), 'North', 1)]","[(7, 9)]","[(7, 10)]","[(7, 9)]",0,0,0
2,"(7, 10)","(7, 9)",North,"[((7, 11), 'North', 1)]","[(7, 10)]","[(7, 11)]","[(7, 9), (7, 10)]",1,0,1
3,"(7, 11)","(7, 10)",North,"[((7, 12), 'North', 1)]","[(7, 11)]","[(7, 12)]","[(7, 9), (7, 10), (7, 11)]",2,0,2
4,"(7, 12)","(7, 11)",North,"[((7, 13), 'North', 1)]","[(7, 12)]","[(7, 13)]","[(7, 9), (7, 10), (7, 11), (7, 12)]",3,0,3
5,"(7, 13)","(7, 12)",North,"[((8, 13), 'East', 1)]","[(7, 13)]","[(8, 13)]","[(7, 10), (7, 13), (7, 9), (7, 12), (7, 11)]",4,0,4
6,"(8, 13)","(7, 13)",East,"[((9, 13), 'East', 1)]","[(8, 13)]","[(9, 13)]","[(7, 10), (7, 13), (7, 9), (8, 13), (7, 12), (7, 11)]",5,0,5
7,"(9, 13)","(8, 13)",East,"[((10, 13), 'East', 1)]","[(9, 13)]","[(10, 13)]","[(9, 13), (7, 10), (7, 13), (7, 9), (8, 13), (7, 12), (7, 11)]",6,0,6
8,"(10, 13)","(9, 13)",East,"[((11, 13), 'East', 1)]","[(10, 13)]","[(11, 13)]","[(9, 13), (7, 10), (7, 13), (10, 13), (7, 9), (8, 13), (7, 12), (7, 11)]",7,0,7
9,"(11, 13)","(10, 13)",East,"[((11, 12), 'South', 1), ((12, 13), 'East', 1)]","[(11, 13)]","[(11, 12), (12, 13)]","[(9, 13), (7, 10), (11, 13), (7, 13), (10, 13), (7, 9), (8, 13), (7, 12), (7, 11)]",8,0,8
10,"(11, 12)","(11, 13)",South,"[((11, 11), 'South', 1)]","[(11, 12), (12, 13)]","[(12, 13), (11, 11)]","[(9, 13), (7, 10), (11, 13), (7, 13), (10, 13), (7, 9), (8, 13), (11, 12), (7, 12), (7, 11)]",9,0,9
11,"(12, 13)","(11, 13)",East,"[((13, 13), 'East', 1)]","[(12, 13), (11, 11)]","[(11, 11), (13, 13)]","[(9, 13), (7, 10), (11, 13), (12, 13), (7, 13), (10, 13), (7, 9), (8, 13), (11, 12), (7, 12), (7, 11)]",9,0,9
12,"(11, 11)","(11, 12)",South,"[((12, 11), 'East', 1), ((10, 11), 'West', 1)]","[(11, 11), (13, 13)]","[(13, 13), (12, 11), (10, 11)]","[(9, 13), (7, 10), (11, 13), (12, 13), (7, 13), (10, 13), (7, 9), (8, 13), (11, 12), (7, 12), (7, 11), (11, 11)]",10,0,10
13,"(13, 13)","(12, 13)",East,"[((14, 13), 'East', 1)]","[(13, 13), (12, 11), (10, 11)]","[(12, 11), (10, 11), (14, 13)]","[(9, 13), (7, 10), (11, 13), (12, 13), (7, 13), (10, 13), (13, 13), (7, 9), (8, 13), (11, 12), (7, 12), (7, 11), (11, 11)]",10,0,10
14,"(12, 11)","(11, 11)",East,"[((13, 11), 'East', 1)]","[(12, 11), (10, 11), (14, 13)]","[(10, 11), (14, 13), (13, 11)]","[(9, 13), (7, 10), (11, 13), (12, 13), (7, 13), (10, 13), (13, 13), (7, 9), (8, 13), (11, 12), (7, 12), (12, 11), (7, 11), (11, 11)]",11,0,11
