iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(11, 6)",None,None,"[((11, 7), 'North', 1), ((12, 6), 'East', 1), ((10, 6), 'West', 1)]","[(11, 6)]","[(11, 7), (12, 6), (10, 6)]","[(11, 6)]",0,0,0
2,"(11, 7)","(11, 6)",North,"[((11, 8), 'North', 1)]","[(11, 7), (12, 6), (10, 6)]","[(12, 6), (10, 6), (11, 8)]","[(11, 7), (11, 6)]",1,0,1
3,"(12, 6)","(11, 6)",East,"[((13, 6), 'East', 1)]","[(12, 6), (10, 6), (11, 8)]","[(10, 6), (11, 8), (13, 6)]","[(11, 7), (12, 6), (11, 6)]",1,0,1
4,"(10, 6)","(11, 6)",West,"[((9, 6), 'West', 1)]","[(10, 6), (11, 8), (13, 6)]","[(11, 8), (13, 6), (9, 6)]","[(11, 7), (12, 6), (10, 6), (11, 6)]",1,0,1
5,"(11, 8)","(11, 7)",North,"[((10, 8), 'West', 1)]","[(11, 8), (13, 6), (9, 6)]","[(13, 6), (9, 6), (10, 8)]","[(11, 7), (11, 6), (12, 6), (10, 6), (11, 8)]",2,0,2
6,"(13, 6)","(12, 6)",East,"[((13, 7), 'North', 1), ((13, 5), 'South', 1)]","[(13, 6), (9, 6), (10, 8)]","[(9, 6), (10, 8), (13, 7), (13, 5)]","[(11, 7), (11, 6), (12, 6), (10, 6), (13, 6), (11, 8)]",2,0,2
7,"(9, 6)","(10, 6)",West,"[((8, 6), 'West', 1)]","[(9, 6), (10, 8), (13, 7), (13, 5)]","[(10, 8), (13, 7), (13, 5), (8, 6)]","[(11, 7), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (11, 8)]",2,0,2
8,"(10, 8)","(11, 8)",West,"[((9, 8), 'West', 1)]","[(10, 8), (13, 7), (13, 5), (8, 6)]","[(13, 7), (13, 5), (8, 6), (9, 8)]","[(11, 7), (10, 8), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (11, 8)]",3,0,3
9,"(13, 7)","(13, 6)",North,"[((13, 8), 'North', 1)]","[(13, 7), (13, 5), (8, 6), (9, 8)]","[(13, 5), (8, 6), (9, 8), (13, 8)]","[(11, 7), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (11, 8)]",3,0,3
10,"(13, 5)","(13, 6)",South,"[((13, 4), 'South', 1)]","[(13, 5), (8, 6), (9, 8), (13, 8)]","[(8, 6), (9, 8), (13, 8), (13, 4)]","[(11, 7), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (11, 8), (13, 5)]",3,0,3
11,"(8, 6)","(9, 6)",West,"[((7, 6), 'West', 1)]","[(8, 6), (9, 8), (13, 8), (13, 4)]","[(9, 8), (13, 8), (13, 4), (7, 6)]","[(11, 7), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (8, 6), (11, 8), (13, 5)]",3,0,3
12,"(9, 8)","(10, 8)",West,"[((8, 8), 'West', 1)]","[(9, 8), (13, 8), (13, 4), (7, 6)]","[(13, 8), (13, 4), (7, 6), (8, 8)]","[(11, 7), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (8, 6), (9, 8), (11, 8), (13, 5)]",4,0,4
13,"(13, 8)","(13, 7)",North,[],"[(13, 8), (13, 4), (7, 6), (8, 8)]","[(13, 4), (7, 6), (8, 8)]","[(13, 8), (11, 7), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (8, 6), (9, 8), (11, 8), (13, 5)]",4,0,4
14,"(13, 4)","(13, 5)",South,"[((14, 4), 'East', 1), ((12, 4), 'West', 1)]","[(13, 4), (7, 6), (8, 8)]","[(7, 6), (8, 8), (14, 4), (12, 4)]","[(13, 8), (11, 7), (13, 4), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (10, 6), (13, 6), (8, 6), (9, 8), (11, 8), (13, 5)]",4,0,4
15,"(7, 6)","(8, 6)",West,"[((6, 6), 'West', 1)]","[(7, 6), (8, 8), (14, 4), (12, 4)]","[(8, 8), (14, 4), (12, 4), (6, 6)]","[(13, 8), (11, 7), (13, 4), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (7, 6), (10, 6), (13, 6), (8, 6), (9, 8), (11, 8), (13, 5)]",4,0,4
16,"(8, 8)","(9, 8)",West,"[((7, 8), 'West', 1)]","[(8, 8), (14, 4), (12, 4), (6, 6)]","[(14, 4), (12, 4), (6, 6), (7, 8)]","[(13, 8), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (7, 6), (10, 6), (13, 6), (8, 6), (9, 8), (11, 8), (13, 5)]",5,0,5
17,"(14, 4)","(13, 4)",East,"[((15, 4), 'East', 1)]","[(14, 4), (12, 4), (6, 6), (7, 8)]","[(12, 4), (6, 6), (7, 8), (15, 4)]","[(13, 8), (11, 7), (8, 8), (13, 4), (14, 4), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (7, 6), (10, 6), (13, 6), (8, 6), (9, 8), (11, 8), (13, 5)]",5,0,5
18,"(12, 4)","(13, 4)",West,"[((12, 3), 'South', 1), ((11, 4), 'West', 1)]","[(12, 4), (6, 6), (7, 8), (15, 4)]","[(6, 6), (7, 8), (15, 4), (12, 3), (11, 4)]","[(13, 8), (11, 7), (8, 8), (13, 4), (12, 4), (14, 4), (10, 8), (13, 7), (9, 6), (11, 6), (12, 6), (7, 6), (10, 6), (13, 6), (8, 6), (9, 8), (11, 8), (13, 5)]",5,0,5
19,"(6, 6)","(7, 6)",West,"[((6, 5), 'South', 1)]","[(6, 6), (7, 8), (15, 4), (12, 3), (11, 4)]","[(7, 8), (15, 4), (12, 3), (11, 4), (6, 5)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (13, 8), (12, 6), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6)]",5,0,5
