iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(17, 11)",None,None,"[((17, 12), 'North', 1), ((17, 10), 'South', 1), ((18, 11), 'East', 1)]","['(17, 11)']","['(17, 12)', '(17, 10)', '(18, 11)']","[(17, 11)]",0,0,0
2,"(17, 12)","(17, 11)",North,"[((17, 13), 'North', 1)]","['(17, 12)', '(17, 10)', '(18, 11)']","['(17, 13)', '(17, 10)', '(18, 11)']","[(17, 11), (17, 12)]",1,0,1
3,"(17, 13)","(17, 12)",North,"[((18, 13), 'East', 1)]","['(17, 13)', '(17, 10)', '(18, 11)']","['(18, 13)', '(17, 10)', '(18, 11)']","[(17, 11), (17, 12), (17, 13)]",2,0,2
4,"(18, 13)","(17, 13)",East,"[((19, 13), 'East', 1)]","['(18, 13)', '(17, 10)', '(18, 11)']","['(19, 13)', '(17, 10)', '(18, 11)']","[(17, 11), (17, 12), (17, 13), (18, 13)]",3,0,3
5,"(19, 13)","(18, 13)",East,"[((20, 13), 'East', 1)]","['(19, 13)', '(17, 10)', '(18, 11)']","['(20, 13)', '(17, 10)', '(18, 11)']","[(17, 13), (18, 13), (19, 13), (17, 12), (17, 11)]",4,0,4
6,"(20, 13)","(19, 13)",East,"[((21, 13), 'East', 1)]","['(20, 13)', '(17, 10)', '(18, 11)']","['(21, 13)', '(17, 10)', '(18, 11)']","[(17, 13), (20, 13), (18, 13), (19, 13), (17, 12), (17, 11)]",5,0,5
7,"(21, 13)","(20, 13)",East,"[((21, 12), 'South', 1)]","['(21, 13)', '(17, 10)', '(18, 11)']","['(21, 12)', '(17, 10)', '(18, 11)']","[(21, 13), (17, 13), (20, 13), (18, 13), (19, 13), (17, 12), (17, 11)]",6,0,6
8,"(21, 12)","(21, 13)",South,"[((21, 11), 'South', 1)]","['(21, 12)', '(17, 10)', '(18, 11)']","['(21, 11)', '(17, 10)', '(18, 11)']","[(21, 13), (17, 13), (20, 13), (18, 13), (21, 12), (19, 13), (17, 12), (17, 11)]",7,0,7
9,"(21, 11)","(21, 12)",South,"[((21, 10), 'South', 1)]","['(21, 11)', '(17, 10)', '(18, 11)']","['(21, 10)', '(17, 10)', '(18, 11)']","[(21, 13), (17, 13), (20, 13), (18, 13), (21, 12), (19, 13), (17, 12), (17, 11), (21, 11)]",8,0,8
10,"(21, 10)","(21, 11)",South,"[((21, 9), 'South', 1)]","['(21, 10)', '(17, 10)', '(18, 11)']","['(21, 9)', '(17, 10)', '(18, 11)']","[(21, 10), (21, 13), (17, 13), (20, 13), (18, 13), (21, 12), (19, 13), (17, 12), (17, 11), (21, 11)]",9,0,9
11,"(21, 9)","(21, 10)",South,"[((21, 8), 'South', 1)]","['(21, 9)', '(17, 10)', '(18, 11)']","['(21, 8)', '(17, 10)', '(18, 11)']","[(21, 10), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (19, 13), (17, 12), (17, 11), (21, 11)]",10,0,10
12,"(21, 8)","(21, 9)",South,"[((21, 7), 'South', 1)]","['(21, 8)', '(17, 10)', '(18, 11)']","['(21, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (19, 13), (17, 12), (21, 8), (17, 11), (21, 11)]",11,0,11
13,"(21, 7)","(21, 8)",South,"[((21, 6), 'South', 1), ((22, 7), 'East', 1)]","['(21, 7)', '(17, 10)', '(18, 11)']","['(21, 6)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (19, 13), (17, 12), (21, 8), (17, 11), (21, 11), (21, 7)]",12,0,12
14,"(21, 6)","(21, 7)",South,"[((21, 5), 'South', 1)]","['(21, 6)', '(22, 7)', '(17, 10)', '(18, 11)']","['(21, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (21, 6), (19, 13), (17, 12), (21, 8), (17, 11), (21, 11), (21, 7)]",13,0,13
15,"(21, 5)","(21, 6)",South,"[((22, 5), 'East', 1)]","['(21, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","['(22, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (21, 6), (19, 13), (17, 12), (21, 5), (21, 8), (17, 11), (21, 11), (21, 7)]",14,0,14
16,"(22, 5)","(21, 5)",East,"[((23, 5), 'East', 1)]","['(22, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","['(23, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (21, 6), (19, 13), (17, 12), (21, 5), (21, 8), (17, 11), (21, 11), (21, 7)]",15,0,15
17,"(23, 5)","(22, 5)",East,"[((24, 5), 'East', 1)]","['(23, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","['(24, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (21, 6), (19, 13), (23, 5), (17, 12), (21, 5), (21, 8), (17, 11), (21, 11), (21, 7)]",16,0,16
18,"(24, 5)","(23, 5)",East,"[((25, 5), 'East', 1)]","['(24, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","[(24, 5), (21, 10), (22, 5), (21, 13), (21, 9), (17, 13), (20, 13), (18, 13), (21, 12), (21, 6), (19, 13), (23, 5), (17, 12), (21, 5), (21, 8), (17, 11), (21, 11), (21, 7)]",17,0,17
19,"(25, 5)","(24, 5)",East,"[((25, 6), 'North', 1)]","['(25, 5)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 6)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (24, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (21, 7)]",18,0,18
