iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",None,None,"[((34, 15), 'South', 1), ((33, 16), 'West', 1)]","['(34, 16)']","['(34, 15)', '(33, 16)']","[(34, 16)]",0,0,0
2,"(34, 15)","(34, 16)",South,"[((34, 14), 'South', 1)]","['(34, 15)', '(33, 16)']","['(34, 14)', '(33, 16)']","[(34, 15), (34, 16)]",1,0,1
3,"(34, 14)","(34, 15)",South,"[((33, 14), 'West', 1)]","['(34, 14)', '(33, 16)']","['(33, 14)', '(33, 16)']","[(34, 15), (34, 16), (34, 14)]",2,0,2
4,"(33, 14)","(34, 14)",West,"[((32, 14), 'West', 1)]","['(33, 14)', '(33, 16)']","['(32, 14)', '(33, 16)']","[(34, 15), (34, 16), (33, 14), (34, 14)]",3,0,3
5,"(32, 14)","(33, 14)",West,"[((31, 14), 'West', 1)]","['(32, 14)', '(33, 16)']","['(31, 14)', '(33, 16)']","[(32, 14), (34, 16), (34, 15), (33, 14), (34, 14)]",4,0,4
6,"(31, 14)","(32, 14)",West,"[((30, 14), 'West', 1)]","['(31, 14)', '(33, 16)']","['(30, 14)', '(33, 16)']","[(31, 14), (32, 14), (34, 16), (34, 15), (33, 14), (34, 14)]",5,0,5
7,"(30, 14)","(31, 14)",West,"[((30, 13), 'South', 1)]","['(30, 14)', '(33, 16)']","['(30, 13)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (34, 16), (34, 15), (33, 14), (34, 14)]",6,0,6
8,"(30, 13)","(30, 14)",South,"[((30, 12), 'South', 1)]","['(30, 13)', '(33, 16)']","['(30, 12)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (34, 15), (33, 14), (34, 14)]",7,0,7
9,"(30, 12)","(30, 13)",South,"[((31, 12), 'East', 1)]","['(30, 12)', '(33, 16)']","['(31, 12)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (30, 12), (34, 15), (33, 14), (34, 14)]",8,0,8
10,"(31, 12)","(30, 12)",East,"[((32, 12), 'East', 1)]","['(31, 12)', '(33, 16)']","['(32, 12)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (30, 12), (34, 15), (31, 12), (33, 14), (34, 14)]",9,0,9
11,"(32, 12)","(31, 12)",East,"[((33, 12), 'East', 1)]","['(32, 12)', '(33, 16)']","['(33, 12)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (30, 12), (34, 15), (31, 12), (33, 14), (32, 12), (34, 14)]",10,0,10
12,"(33, 12)","(32, 12)",East,"[((34, 12), 'East', 1)]","['(33, 12)', '(33, 16)']","['(34, 12)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (33, 12), (30, 12), (34, 15), (31, 12), (33, 14), (32, 12), (34, 14)]",11,0,11
13,"(34, 12)","(33, 12)",East,"[((34, 11), 'South', 1)]","['(34, 12)', '(33, 16)']","['(34, 11)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (33, 12), (34, 12), (30, 12), (34, 15), (31, 12), (33, 14), (32, 12), (34, 14)]",12,0,12
14,"(34, 11)","(34, 12)",South,"[((34, 10), 'South', 1)]","['(34, 11)', '(33, 16)']","['(34, 10)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (33, 12), (34, 12), (30, 12), (34, 15), (31, 12), (34, 11), (33, 14), (32, 12), (34, 14)]",13,0,13
15,"(34, 10)","(34, 11)",South,"[((33, 10), 'West', 1)]","['(34, 10)', '(33, 16)']","['(33, 10)', '(33, 16)']","[(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (34, 10), (33, 12), (34, 12), (30, 12), (34, 15), (31, 12), (34, 11), (33, 14), (32, 12), (34, 14)]",14,0,14
16,"(33, 10)","(34, 10)",West,"[((32, 10), 'West', 1)]","['(33, 10)', '(33, 16)']","['(32, 10)', '(33, 16)']","[(30, 14), (31, 14), (33, 10), (32, 14), (30, 13), (34, 16), (34, 10), (33, 12), (34, 12), (30, 12), (34, 15), (31, 12), (34, 11), (33, 14), (32, 12), (34, 14)]",15,0,15
17,"(32, 10)","(33, 10)",West,"[((31, 10), 'West', 1)]","['(32, 10)', '(33, 16)']","['(31, 10)', '(33, 16)']","[(30, 14), (31, 14), (33, 10), (32, 14), (30, 13), (34, 16), (34, 10), (33, 12), (32, 10), (34, 12), (30, 12), (34, 15), (31, 12), (34, 11), (33, 14), (32, 12), (34, 14)]",16,0,16
18,"(31, 10)","(32, 10)",West,"[((30, 10), 'West', 1)]","['(31, 10)', '(33, 16)']","['(30, 10)', '(33, 16)']","[(30, 14), (31, 14), (33, 10), (32, 14), (30, 13), (34, 16), (34, 10), (31, 10), (33, 12), (32, 10), (34, 12), (30, 12), (34, 15), (31, 12), (34, 11), (33, 14), (32, 12), (34, 14)]",17,0,17
19,"(30, 10)","(31, 10)",West,"[((30, 9), 'South', 1), ((29, 10), 'West', 1)]","['(30, 10)', '(33, 16)']","['(30, 9)', '(29, 10)', '(33, 16)']","[(31, 14), (34, 10), (34, 16), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",18,0,18
20,"(30, 9)","(30, 10)",South,"[((30, 8), 'South', 1)]","['(30, 9)', '(29, 10)', '(33, 16)']","['(30, 8)', '(29, 10)', '(33, 16)']","[(31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",19,0,19
21,"(30, 8)","(30, 9)",South,"[((31, 8), 'East', 1)]","['(30, 8)', '(29, 10)', '(33, 16)']","['(31, 8)', '(29, 10)', '(33, 16)']","[(31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",20,0,20
22,"(31, 8)","(30, 8)",East,"[((32, 8), 'East', 1)]","['(31, 8)', '(29, 10)', '(33, 16)']","['(32, 8)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",21,0,21
23,"(32, 8)","(31, 8)",East,"[((33, 8), 'East', 1)]","['(32, 8)', '(29, 10)', '(33, 16)']","['(33, 8)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",22,0,22
24,"(33, 8)","(32, 8)",East,"[((34, 8), 'East', 1)]","['(33, 8)', '(29, 10)', '(33, 16)']","['(34, 8)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",23,0,23
25,"(34, 8)","(33, 8)",East,"[((34, 7), 'South', 1)]","['(34, 8)', '(29, 10)', '(33, 16)']","['(34, 7)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",24,0,24
26,"(34, 7)","(34, 8)",South,"[((34, 6), 'South', 1)]","['(34, 7)', '(29, 10)', '(33, 16)']","['(34, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",25,0,25
27,"(34, 6)","(34, 7)",South,"[((33, 6), 'West', 1)]","['(34, 6)', '(29, 10)', '(33, 16)']","['(33, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",26,0,26
28,"(33, 6)","(34, 6)",West,"[((32, 6), 'West', 1)]","['(33, 6)', '(29, 10)', '(33, 16)']","['(32, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",27,0,27
29,"(32, 6)","(33, 6)",West,"[((31, 6), 'West', 1)]","['(32, 6)', '(29, 10)', '(33, 16)']","['(31, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",28,0,28
30,"(31, 6)","(32, 6)",West,"[((30, 6), 'West', 1)]","['(31, 6)', '(29, 10)', '(33, 16)']","['(30, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",29,0,29
31,"(30, 6)","(31, 6)",West,"[((30, 5), 'South', 1), ((29, 6), 'West', 1)]","['(30, 6)', '(29, 10)', '(33, 16)']","['(30, 5)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",30,0,30
32,"(30, 5)","(30, 6)",South,"[((30, 4), 'South', 1)]","['(30, 5)', '(29, 6)', '(29, 10)', '(33, 16)']","['(30, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",31,0,31
