iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(18, 9)",None,None,"[((18, 8), 'South', 1), ((17, 9), 'West', 1)]","[(18, 9)]","[(18, 8), (17, 9)]","[(18, 9)]",0,25,25
2,"(18, 8)","(18, 9)",South,"[((18, 7), 'South', 1)]","[(18, 8), (17, 9)]","[(18, 7), (17, 9)]","[(18, 9), (18, 8)]",1,24,24
3,"(18, 7)","(18, 8)",South,"[((18, 6), 'South', 1)]","[(18, 7), (17, 9)]","[(18, 6), (17, 9)]","[(18, 9), (18, 7), (18, 8)]",2,23,23
4,"(18, 6)","(18, 7)",South,"[((18, 5), 'South', 1)]","[(18, 6), (17, 9)]","[(18, 5), (17, 9)]","[(18, 9), (18, 6), (18, 7), (18, 8)]",3,22,22
5,"(18, 5)","(18, 6)",South,"[((18, 4), 'South', 1)]","[(18, 5), (17, 9)]","[(18, 4), (17, 9)]","[(18, 7), (18, 9), (18, 6), (18, 5), (18, 8)]",4,21,21
6,"(18, 4)","(18, 5)",South,"[((18, 3), 'South', 1)]","[(18, 4), (17, 9)]","[(18, 3), (17, 9)]","[(18, 4), (18, 7), (18, 9), (18, 6), (18, 5), (18, 8)]",5,20,20
7,"(18, 3)","(18, 4)",South,"[((18, 2), 'South', 1)]","[(18, 3), (17, 9)]","[(18, 2), (17, 9)]","[(18, 4), (18, 7), (18, 3), (18, 9), (18, 6), (18, 5), (18, 8)]",6,19,19
8,"(18, 2)","(18, 3)",South,"[((18, 1), 'South', 1)]","[(18, 2), (17, 9)]","[(18, 1), (17, 9)]","[(18, 4), (18, 7), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8)]",7,18,18
9,"(18, 1)","(18, 2)",South,"[((17, 1), 'West', 1)]","[(18, 1), (17, 9)]","[(17, 1), (17, 9)]","[(18, 4), (18, 1), (18, 7), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8)]",8,17,17
10,"(17, 1)","(18, 1)",West,"[((16, 1), 'West', 1)]","[(17, 1), (17, 9)]","[(16, 1), (17, 9)]","[(18, 4), (17, 1), (18, 1), (18, 7), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8)]",9,16,16
11,"(16, 1)","(17, 1)",West,"[((16, 2), 'North', 1), ((15, 1), 'West', 1)]","[(16, 1), (17, 9)]","[(15, 1), (17, 9), (16, 2)]","[(18, 4), (17, 1), (18, 1), (18, 7), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8), (16, 1)]",10,15,15
12,"(15, 1)","(16, 1)",West,"[((14, 1), 'West', 1)]","[(15, 1), (17, 9), (16, 2)]","[(14, 1), (17, 9), (16, 2)]","[(18, 4), (17, 1), (18, 1), (18, 7), (15, 1), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8), (16, 1)]",11,14,14
13,"(14, 1)","(15, 1)",West,"[((14, 2), 'North', 1), ((13, 1), 'West', 1)]","[(14, 1), (17, 9), (16, 2)]","[(13, 1), (14, 2), (16, 2), (17, 9)]","[(18, 4), (17, 1), (18, 1), (18, 7), (14, 1), (15, 1), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8), (16, 1)]",12,13,13
14,"(13, 1)","(14, 1)",West,"[((12, 1), 'West', 1)]","[(13, 1), (14, 2), (16, 2), (17, 9)]","[(12, 1), (14, 2), (16, 2), (17, 9)]","[(18, 4), (17, 1), (18, 1), (18, 7), (13, 1), (14, 1), (15, 1), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8), (16, 1)]",13,12,12
15,"(12, 1)","(13, 1)",West,"[((12, 2), 'North', 1)]","[(12, 1), (14, 2), (16, 2), (17, 9)]","[(12, 2), (14, 2), (16, 2), (17, 9)]","[(18, 4), (17, 1), (12, 1), (18, 1), (18, 7), (13, 1), (14, 1), (15, 1), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8), (16, 1)]",14,11,11
16,"(12, 2)","(12, 1)",North,"[((12, 3), 'North', 1)]","[(12, 2), (14, 2), (16, 2), (17, 9)]","[(12, 3), (14, 2), (16, 2), (17, 9)]","[(18, 4), (17, 1), (12, 1), (18, 1), (18, 7), (13, 1), (14, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (18, 2), (18, 5), (18, 8), (16, 1)]",15,12,12
17,"(12, 3)","(12, 2)",North,"[((11, 3), 'West', 1)]","[(12, 3), (14, 2), (16, 2), (17, 9)]","[(11, 3), (14, 2), (16, 2), (17, 9)]","[(18, 4), (17, 1), (12, 1), (18, 1), (18, 7), (13, 1), (14, 1), (15, 1), (12, 3), (18, 3), (18, 9), (18, 6), (12, 2), (18, 2), (18, 5), (18, 8), (16, 1)]",16,13,13
18,"(11, 3)","(12, 3)",West,"[((10, 3), 'West', 1)]","[(11, 3), (14, 2), (16, 2), (17, 9)]","[(10, 3), (14, 2), (16, 2), (17, 9)]","[(18, 4), (17, 1), (12, 1), (18, 1), (18, 7), (13, 1), (14, 1), (15, 1), (11, 3), (12, 3), (18, 3), (18, 9), (18, 6), (12, 2), (18, 2), (18, 5), (18, 8), (16, 1)]",17,12,12
19,"(10, 3)","(11, 3)",West,"[((10, 4), 'North', 1), ((10, 2), 'South', 1)]","[(10, 3), (14, 2), (16, 2), (17, 9)]","[(10, 2), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (13, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (17, 1), (11, 3), (18, 2), (18, 5), (18, 8)]",18,11,11
20,"(10, 2)","(10, 3)",South,"[((10, 1), 'South', 1)]","[(10, 2), (10, 4), (16, 2), (17, 9), (14, 2)]","[(10, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (17, 1), (11, 3), (18, 2), (18, 5), (18, 8)]",19,10,10
