iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(17, 11)",None,None,"[((17, 12), 'North', 1), ((17, 10), 'South', 1), ((18, 11), 'East', 1)]","['(17, 11)']","['(17, 12)', '(17, 10)', '(18, 11)']","[(17, 11)]",0,0,0
2,"(17, 12)","(17, 11)",North,"[((17, 13), 'North', 1)]","['(17, 12)', '(17, 10)', '(18, 11)']","['(17, 10)', '(18, 11)', '(17, 13)']","[(17, 11), (17, 12)]",1,0,1
3,"(17, 10)","(17, 11)",South,"[((17, 9), 'South', 1)]","['(17, 10)', '(18, 11)', '(17, 13)']","['(18, 11)', '(17, 13)', '(17, 9)']","[(17, 11), (17, 12), (17, 10)]",1,0,1
4,"(18, 11)","(17, 11)",East,"[((19, 11), 'East', 1)]","['(18, 11)', '(17, 13)', '(17, 9)']","['(17, 13)', '(17, 9)', '(19, 11)']","[(17, 11), (17, 12), (18, 11), (17, 10)]",1,0,1
5,"(17, 13)","(17, 12)",North,"[((18, 13), 'East', 1)]","['(17, 13)', '(17, 9)', '(19, 11)']","['(17, 9)', '(19, 11)', '(18, 13)']","[(17, 10), (17, 13), (17, 12), (17, 11), (18, 11)]",2,0,2
6,"(17, 9)","(17, 10)",South,"[((17, 8), 'South', 1)]","['(17, 9)', '(19, 11)', '(18, 13)']","['(19, 11)', '(18, 13)', '(17, 8)']","[(17, 10), (17, 13), (17, 9), (17, 12), (17, 11), (18, 11)]",2,0,2
7,"(19, 11)","(18, 11)",East,[],"['(19, 11)', '(18, 13)', '(17, 8)']","['(18, 13)', '(17, 8)']","[(17, 10), (17, 13), (17, 9), (17, 12), (17, 11), (18, 11), (19, 11)]",2,0,2
8,"(18, 13)","(17, 13)",East,"[((19, 13), 'East', 1)]","['(18, 13)', '(17, 8)']","['(17, 8)', '(19, 13)']","[(17, 10), (17, 13), (18, 13), (17, 9), (17, 12), (17, 11), (18, 11), (19, 11)]",3,0,3
9,"(17, 8)","(17, 9)",South,"[((17, 7), 'South', 1)]","['(17, 8)', '(19, 13)']","['(19, 13)', '(17, 7)']","[(17, 10), (17, 13), (18, 13), (17, 9), (17, 12), (17, 11), (18, 11), (17, 8), (19, 11)]",3,0,3
10,"(19, 13)","(18, 13)",East,"[((20, 13), 'East', 1)]","['(19, 13)', '(17, 7)']","['(17, 7)', '(20, 13)']","[(17, 10), (17, 13), (18, 13), (17, 9), (19, 13), (17, 12), (17, 11), (18, 11), (17, 8), (19, 11)]",4,0,4
11,"(17, 7)","(17, 8)",South,"[((17, 6), 'South', 1)]","['(17, 7)', '(20, 13)']","['(20, 13)', '(17, 6)']","[(17, 7), (17, 10), (17, 13), (18, 13), (17, 9), (19, 13), (17, 12), (17, 11), (18, 11), (17, 8), (19, 11)]",4,0,4
12,"(20, 13)","(19, 13)",East,"[((21, 13), 'East', 1)]","['(20, 13)', '(17, 6)']","['(17, 6)', '(21, 13)']","[(17, 7), (17, 10), (17, 13), (20, 13), (18, 13), (17, 9), (19, 13), (17, 12), (17, 11), (18, 11), (17, 8), (19, 11)]",5,0,5
13,"(17, 6)","(17, 7)",South,"[((17, 5), 'South', 1)]","['(17, 6)', '(21, 13)']","['(21, 13)', '(17, 5)']","[(17, 7), (17, 10), (17, 13), (20, 13), (18, 13), (17, 9), (19, 13), (17, 6), (17, 12), (17, 11), (18, 11), (17, 8), (19, 11)]",5,0,5
