iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 7)",None,None,"[((1, 8), 'North', 1), ((1, 6), 'South', 1)]","['(1, 7)']","['(1, 8)', '(1, 6)']","[(1, 7)]",0,0,0
2,"(1, 8)","(1, 7)",North,"[((1, 9), 'North', 1)]","['(1, 8)', '(1, 6)']","['(1, 6)', '(1, 9)']","[(1, 7), (1, 8)]",1,0,1
3,"(1, 6)","(1, 7)",South,"[((1, 5), 'South', 1)]","['(1, 6)', '(1, 9)']","['(1, 9)', '(1, 5)']","[(1, 6), (1, 7), (1, 8)]",1,0,1
4,"(1, 9)","(1, 8)",North,"[((1, 10), 'North', 1), ((2, 9), 'East', 1)]","['(1, 9)', '(1, 5)']","['(1, 5)', '(1, 10)', '(2, 9)']","[(1, 6), (1, 7), (1, 8), (1, 9)]",2,0,2
5,"(1, 5)","(1, 6)",South,"[((1, 4), 'South', 1)]","['(1, 5)', '(1, 10)', '(2, 9)']","['(1, 10)', '(2, 9)', '(1, 4)']","[(1, 5), (1, 8), (1, 7), (1, 6), (1, 9)]",2,0,2
6,"(1, 10)","(1, 9)",North,"[((1, 11), 'North', 1)]","['(1, 10)', '(2, 9)', '(1, 4)']","['(2, 9)', '(1, 4)', '(1, 11)']","[(1, 5), (1, 8), (1, 7), (1, 10), (1, 6), (1, 9)]",3,0,3
7,"(2, 9)","(1, 9)",East,"[((3, 9), 'East', 1)]","['(2, 9)', '(1, 4)', '(1, 11)']","['(1, 4)', '(1, 11)', '(3, 9)']","[(1, 5), (1, 8), (2, 9), (1, 7), (1, 10), (1, 6), (1, 9)]",3,0,3
8,"(1, 4)","(1, 5)",South,"[((1, 3), 'South', 1)]","['(1, 4)', '(1, 11)', '(3, 9)']","['(1, 11)', '(3, 9)', '(1, 3)']","[(1, 5), (1, 8), (1, 4), (2, 9), (1, 7), (1, 10), (1, 6), (1, 9)]",3,0,3
9,"(1, 11)","(1, 10)",North,"[((1, 12), 'North', 1)]","['(1, 11)', '(3, 9)', '(1, 3)']","['(3, 9)', '(1, 3)', '(1, 12)']","[(1, 5), (1, 11), (1, 8), (1, 4), (2, 9), (1, 7), (1, 10), (1, 6), (1, 9)]",4,0,4
10,"(3, 9)","(2, 9)",East,[],"['(3, 9)', '(1, 3)', '(1, 12)']","['(1, 3)', '(1, 12)']","[(1, 5), (1, 11), (1, 8), (1, 4), (2, 9), (1, 7), (3, 9), (1, 10), (1, 6), (1, 9)]",4,0,4
11,"(1, 3)","(1, 4)",South,"[((1, 2), 'South', 1)]","['(1, 3)', '(1, 12)']","['(1, 12)', '(1, 2)']","[(1, 5), (1, 11), (1, 8), (1, 4), (2, 9), (1, 7), (3, 9), (1, 10), (1, 6), (1, 3), (1, 9)]",4,0,4
12,"(1, 12)","(1, 11)",North,"[((1, 13), 'North', 1)]","['(1, 12)', '(1, 2)']","['(1, 2)', '(1, 13)']","[(1, 12), (1, 5), (1, 11), (1, 8), (1, 4), (2, 9), (1, 7), (3, 9), (1, 10), (1, 6), (1, 3), (1, 9)]",5,0,5
13,"(1, 2)","(1, 3)",South,"[((1, 1), 'South', 1)]","['(1, 2)', '(1, 13)']","['(1, 13)', '(1, 1)']","[(1, 12), (1, 2), (1, 5), (1, 11), (1, 8), (1, 4), (2, 9), (1, 7), (3, 9), (1, 10), (1, 6), (1, 3), (1, 9)]",5,0,5
14,"(1, 13)","(1, 12)",North,"[((2, 13), 'East', 1)]","['(1, 13)', '(1, 1)']","['(1, 1)', '(2, 13)']","[(1, 12), (1, 2), (1, 5), (1, 11), (1, 8), (1, 4), (2, 9), (1, 7), (1, 13), (3, 9), (1, 10), (1, 6), (1, 3), (1, 9)]",6,0,6
15,"(1, 1)","(1, 2)",South,[],"['(1, 1)', '(2, 13)']","['(2, 13)']","[(1, 12), (1, 2), (1, 5), (1, 11), (1, 1), (1, 8), (1, 4), (2, 9), (1, 7), (1, 13), (3, 9), (1, 10), (1, 6), (1, 3), (1, 9)]",6,0,6
