iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((2, 3), <game.Grid object at 0x0000022D11ECE000>)",None,None,"[(((3, 3), <game.Grid object at 0x0000022D11ECF350>), 'East', 1), (((1, 3), <game.Grid object at 0x0000022D11ECF320>), 'West', 1)]","['((2, 3), <game.Grid object at 0x0000022D11ECE000>)']","['((3, 3), <game.Grid object at 0x0000022D11ECF350>)', '((1, 3), <game.Grid object at 0x0000022D11ECF320>)']","[((2, 3), <game.Grid object at 0x0000022D11ECE000>)]",0,0,0
2,"((3, 3), <game.Grid object at 0x0000022D11ECF350>)","((2, 3), <game.Grid object at 0x0000022D11ECE000>)",East,"[(((3, 2), <game.Grid object at 0x0000022D11ECF290>), 'South', 1)]","['((3, 3), <game.Grid object at 0x0000022D11ECF350>)', '((1, 3), <game.Grid object at 0x0000022D11ECF320>)']","['((1, 3), <game.Grid object at 0x0000022D11ECF320>)', '((3, 2), <game.Grid object at 0x0000022D11ECF290>)']","[((3, 3), <game.Grid object at 0x0000022D11ECF350>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>)]",1,0,1
3,"((1, 3), <game.Grid object at 0x0000022D11ECF320>)","((2, 3), <game.Grid object at 0x0000022D11ECE000>)",West,"[(((2, 3), <game.Grid object at 0x0000022D11ECF410>), 'East', 1)]","['((1, 3), <game.Grid object at 0x0000022D11ECF320>)', '((3, 2), <game.Grid object at 0x0000022D11ECF290>)']","['((3, 2), <game.Grid object at 0x0000022D11ECF290>)', '((2, 3), <game.Grid object at 0x0000022D11ECF410>)']","[((3, 3), <game.Grid object at 0x0000022D11ECF350>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>)]",1,0,1
4,"((3, 2), <game.Grid object at 0x0000022D11ECF290>)","((3, 3), <game.Grid object at 0x0000022D11ECF350>)",South,"[(((3, 1), <game.Grid object at 0x0000022D11ECF5F0>), 'South', 1)]","['((3, 2), <game.Grid object at 0x0000022D11ECF290>)', '((2, 3), <game.Grid object at 0x0000022D11ECF410>)']","['((2, 3), <game.Grid object at 0x0000022D11ECF410>)', '((3, 1), <game.Grid object at 0x0000022D11ECF5F0>)']","[((3, 3), <game.Grid object at 0x0000022D11ECF350>), ((3, 2), <game.Grid object at 0x0000022D11ECF290>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>)]",2,0,2
5,"((2, 3), <game.Grid object at 0x0000022D11ECF410>)","((1, 3), <game.Grid object at 0x0000022D11ECF320>)",East,"[(((3, 3), <game.Grid object at 0x0000022D11ECF710>), 'East', 1)]","['((2, 3), <game.Grid object at 0x0000022D11ECF410>)', '((3, 1), <game.Grid object at 0x0000022D11ECF5F0>)']","['((3, 1), <game.Grid object at 0x0000022D11ECF5F0>)', '((3, 3), <game.Grid object at 0x0000022D11ECF710>)']","[((2, 3), <game.Grid object at 0x0000022D11ECF410>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>), ((3, 2), <game.Grid object at 0x0000022D11ECF290>), ((3, 3), <game.Grid object at 0x0000022D11ECF350>)]",2,0,2
6,"((3, 1), <game.Grid object at 0x0000022D11ECF5F0>)","((3, 2), <game.Grid object at 0x0000022D11ECF290>)",South,"[(((2, 1), <game.Grid object at 0x0000022D11ECFBF0>), 'West', 1)]","['((3, 1), <game.Grid object at 0x0000022D11ECF5F0>)', '((3, 3), <game.Grid object at 0x0000022D11ECF710>)']","['((3, 3), <game.Grid object at 0x0000022D11ECF710>)', '((2, 1), <game.Grid object at 0x0000022D11ECFBF0>)']","[((2, 3), <game.Grid object at 0x0000022D11ECF410>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((3, 1), <game.Grid object at 0x0000022D11ECF5F0>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>), ((3, 2), <game.Grid object at 0x0000022D11ECF290>), ((3, 3), <game.Grid object at 0x0000022D11ECF350>)]",3,0,3
7,"((3, 3), <game.Grid object at 0x0000022D11ECF710>)","((2, 3), <game.Grid object at 0x0000022D11ECF410>)",East,"[(((3, 2), <game.Grid object at 0x0000022D11ECFBC0>), 'South', 1)]","['((3, 3), <game.Grid object at 0x0000022D11ECF710>)', '((2, 1), <game.Grid object at 0x0000022D11ECFBF0>)']","['((2, 1), <game.Grid object at 0x0000022D11ECFBF0>)', '((3, 2), <game.Grid object at 0x0000022D11ECFBC0>)']","[((2, 3), <game.Grid object at 0x0000022D11ECF410>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((3, 1), <game.Grid object at 0x0000022D11ECF5F0>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>), ((3, 3), <game.Grid object at 0x0000022D11ECF710>), ((3, 2), <game.Grid object at 0x0000022D11ECF290>), ((3, 3), <game.Grid object at 0x0000022D11ECF350>)]",3,0,3
8,"((2, 1), <game.Grid object at 0x0000022D11ECFBF0>)","((3, 1), <game.Grid object at 0x0000022D11ECF5F0>)",West,"[(((1, 1), <game.Grid object at 0x0000022D11ECFE90>), 'West', 1)]","['((2, 1), <game.Grid object at 0x0000022D11ECFBF0>)', '((3, 2), <game.Grid object at 0x0000022D11ECFBC0>)']","['((3, 2), <game.Grid object at 0x0000022D11ECFBC0>)', '((1, 1), <game.Grid object at 0x0000022D11ECFE90>)']","[((2, 1), <game.Grid object at 0x0000022D11ECFBF0>), ((2, 3), <game.Grid object at 0x0000022D11ECF410>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((3, 1), <game.Grid object at 0x0000022D11ECF5F0>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>), ((3, 3), <game.Grid object at 0x0000022D11ECF710>), ((3, 2), <game.Grid object at 0x0000022D11ECF290>), ((3, 3), <game.Grid object at 0x0000022D11ECF350>)]",4,0,4
9,"((3, 2), <game.Grid object at 0x0000022D11ECFBC0>)","((3, 3), <game.Grid object at 0x0000022D11ECF710>)",South,"[(((3, 1), <game.Grid object at 0x0000022D11ECFEC0>), 'South', 1)]","['((3, 2), <game.Grid object at 0x0000022D11ECFBC0>)', '((1, 1), <game.Grid object at 0x0000022D11ECFE90>)']","['((1, 1), <game.Grid object at 0x0000022D11ECFE90>)', '((3, 1), <game.Grid object at 0x0000022D11ECFEC0>)']","[((2, 1), <game.Grid object at 0x0000022D11ECFBF0>), ((2, 3), <game.Grid object at 0x0000022D11ECF410>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((3, 2), <game.Grid object at 0x0000022D11ECFBC0>), ((3, 1), <game.Grid object at 0x0000022D11ECF5F0>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>), ((3, 3), <game.Grid object at 0x0000022D11ECF710>), ((3, 2), <game.Grid object at 0x0000022D11ECF290>), ((3, 3), <game.Grid object at 0x0000022D11ECF350>)]",4,0,4
10,"((1, 1), <game.Grid object at 0x0000022D11ECFE90>)","((2, 1), <game.Grid object at 0x0000022D11ECFBF0>)",West,"[(((2, 1), <game.Grid object at 0x0000022D11ECFE60>), 'East', 1)]","['((1, 1), <game.Grid object at 0x0000022D11ECFE90>)', '((3, 1), <game.Grid object at 0x0000022D11ECFEC0>)']","['((3, 1), <game.Grid object at 0x0000022D11ECFEC0>)', '((2, 1), <game.Grid object at 0x0000022D11ECFE60>)']","[((2, 1), <game.Grid object at 0x0000022D11ECFBF0>), ((2, 3), <game.Grid object at 0x0000022D11ECF410>), ((1, 1), <game.Grid object at 0x0000022D11ECFE90>), ((1, 3), <game.Grid object at 0x0000022D11ECF320>), ((3, 2), <game.Grid object at 0x0000022D11ECFBC0>), ((3, 1), <game.Grid object at 0x0000022D11ECF5F0>), ((2, 3), <game.Grid object at 0x0000022D11ECE000>), ((3, 3), <game.Grid object at 0x0000022D11ECF710>), ((3, 2), <game.Grid object at 0x0000022D11ECF290>), ((3, 3), <game.Grid object at 0x0000022D11ECF350>)]",5,0,5
