iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(18, 9)",None,None,"[((18, 8), 'South', 1), ((17, 9), 'West', 1)]","['(18, 9)']","['(18, 8)', '(17, 9)']","[(18, 9)]",0,0,0
2,"(18, 8)","(18, 9)",South,"[((18, 7), 'South', 1)]","['(18, 8)', '(17, 9)']","['(17, 9)', '(18, 7)']","[(18, 9), (18, 8)]",1,0,1
3,"(17, 9)","(18, 9)",West,"[((16, 9), 'West', 1)]","['(17, 9)', '(18, 7)']","['(18, 7)', '(16, 9)']","[(18, 9), (17, 9), (18, 8)]",1,0,1
4,"(18, 7)","(18, 8)",South,"[((18, 6), 'South', 1)]","['(18, 7)', '(16, 9)']","['(16, 9)', '(18, 6)']","[(18, 9), (17, 9), (18, 7), (18, 8)]",2,0,2
5,"(16, 9)","(17, 9)",West,"[((15, 9), 'West', 1)]","['(16, 9)', '(18, 6)']","['(18, 6)', '(15, 9)']","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 8)]",2,0,2
6,"(18, 6)","(18, 7)",South,"[((18, 5), 'South', 1)]","['(18, 6)', '(15, 9)']","['(15, 9)', '(18, 5)']","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (18, 8)]",3,0,3
7,"(15, 9)","(16, 9)",West,"[((14, 9), 'West', 1)]","['(15, 9)', '(18, 5)']","['(18, 5)', '(14, 9)']","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (15, 9), (18, 8)]",3,0,3
8,"(18, 5)","(18, 6)",South,"[((18, 4), 'South', 1)]","['(18, 5)', '(14, 9)']","['(14, 9)', '(18, 4)']","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (15, 9), (18, 5), (18, 8)]",4,0,4
9,"(14, 9)","(15, 9)",West,"[((13, 9), 'West', 1)]","['(14, 9)', '(18, 4)']","['(18, 4)', '(13, 9)']","[(18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (14, 9), (15, 9), (18, 5), (18, 8)]",4,0,4
10,"(18, 4)","(18, 5)",South,"[((18, 3), 'South', 1)]","['(18, 4)', '(13, 9)']","['(13, 9)', '(18, 3)']","[(18, 4), (18, 7), (16, 9), (17, 9), (18, 9), (18, 6), (14, 9), (15, 9), (18, 5), (18, 8)]",5,0,5
11,"(13, 9)","(14, 9)",West,"[((12, 9), 'West', 1)]","['(13, 9)', '(18, 3)']","['(18, 3)', '(12, 9)']","[(18, 4), (18, 7), (16, 9), (17, 9), (18, 9), (13, 9), (18, 6), (14, 9), (15, 9), (18, 5), (18, 8)]",5,0,5
